uf,slope_anual,intercept,casos_2018,casos_2026
AL,-0.6499999999999158,1324.0777777776068,8,6
PA,-0.4999999999999397,1020.6666666665443,10,7
DF,-0.4166666666666907,851.0555555556037,14,7
CE,-0.41666666666658164,853.2777777776055,8,9
RN,-0.31666666666670307,650.7444444445177,14,11
ES,-0.266666666666611,548.977777777665,10,10
RR,-0.24999999999999745,513.722222222217,10,9
SP,-0.23333333333339354,480.6888888890105,13,8
AP,-0.21666666666659987,447.0999999998648,7,7
SC,-0.16666666666669316,348.33333333338675,15,12
MT,-0.11666666666669868,246.01111111117575,15,8
TO,-0.1166666666666451,245.56666666662295,9,10
PB,-0.08333333333333305,176.7222222222216,7,5
AM,-0.08333333333330972,177.05555555550777,7,8
PI,0.01666666666667641,-23.58888888890857,9,9
RO,0.03333333333331,-58.06666666661945,9,6
MG,0.08333333333328397,-160.6111111110112,9,6
RS,0.08333333333334489,-159.16666666668996,8,9
SE,0.13333333333333627,-258.6000000000058,11,13
AC,0.14999999999999625,-294.0777777777701,10,11
BA,0.23333333333333797,-462.2444444444536,7,10
PE,0.2666666666665507,-529.6444444442099,14,11
PR,0.39999999999995817,-798.5777777776929,10,13
MS,0.39999999999998676,-801.3555555555284,7,9
RJ,0.5666666666666863,-1137.577777777817,5,9
MA,0.6666666666666279,-1340.3333333332541,6,10
GO,0.8166666666666278,-1644.2999999999208,4,10
